date,prix,precipitation,tmax,tmin
2013-01-01,140.0,0.0,34.8,17.2
2013-02-01,140.0,0.0,37.8,20.7
2013-03-01,160.0,0.0,40.9,27.7
2013-04-01,160.0,68.1,38.2,26.3
2013-05-01,175.0,104.7,36.3,25.5
2013-06-01,175.0,188.0,33.4,23.8
2013-07-01,195.0,193.7,31.8,23.1
2013-08-01,190.0,332.2,30.0,22.6
2013-09-01,125.0,120.3,31.6,22.4
2013-10-01,105.0,95.2,34.2,22.6
2013-11-01,125.0,0.0,36.8,19.9
2013-12-01,125.0,0.0,34.9,17.2
2014-01-01,125.0,7.7,35.2,18.4
2014-02-01,125.0,0.0,36.9,21.0
2014-03-01,150.0,0.0,39.7,24.9
2014-04-01,145.0,100.6,38.2,26.2
2014-05-01,135.0,64.8,35.2,25.1
2014-06-01,135.0,149.9,33.9,24.2
2014-07-01,95.0,195.3,32.3,23.7
2014-08-01,95.0,201.5,30.7,22.4
2014-09-01,115.0,236.5,31.0,22.0
2014-10-01,95.0,18.8,34.5,23.0
2014-11-01,115.0,0.0,36.9,20.8
2014-12-01,115.0,0.0,35.0,16.9
2015-01-01,95.0,0.0,32.8,16.1
2015-02-01,95.0,4.1,38.1,21.9
2015-03-01,115.0,1.9,38.5,24.5
2015-04-01,115.0,10.5,40.0,26.6
2015-05-01,150.0,96.6,37.5,26.3
2015-06-01,150.0,72.8,34.9,24.5
2015-07-01,160.0,219.5,32.2,23.3
2015-08-01,180.0,344.0,30.3,22.2
2015-09-01,170.0,344.2,31.5,22.5
2015-10-01,155.0,92.6,34.1,23.5
2015-11-01,180.0,0.0,35.3,19.3
2015-12-01,135.0,0.0,30.9,16.3
2016-01-01,145.0,0.0,32.9,16.8
2016-02-01,150.0,0.0,36.4,19.9
2016-03-01,160.0,18.5,39.6,25.4
2016-04-01,190.0,101.2,38.5,26.2
2016-05-01,145.0,92.0,36.8,24.9
2016-06-01,165.0,123.2,32.8,23.5
2016-07-01,165.0,123.1,31.8,23.0
2016-08-01,180.0,189.5,30.4,22.5
2016-09-01,175.0,337.3,31.3,21.9
2016-10-01,145.0,12.2,35.3,23.0
2016-11-01,115.0,0.0,36.9,20.2
2016-12-01,115.0,0.0,35.2,18.7
2017-01-01,145.0,0.0,34.6,17.0
2017-02-01,160.0,0.0,36.3,20.4
2017-04-01,190.0,7.1,40.1,27.3
2018-02-01,143.0,0.4,37.4,21.2
2018-04-01,171.0,7.4,39.8,27.1
2019-07-01,152.0,175.3,31.5,23.0
2019-08-01,114.0,234.4,30.6,22.5
2019-09-01,117.0,250.3,32.3,22.9
2019-10-01,133.0,104.5,32.4,22.7
2020-01-01,133.0,0.0,33.1,16.9
2020-02-01,133.0,0.0,35.1,19.6
2020-03-01,147.0,0.0,40.3,24.9
2020-04-01,152.0,66.1,39.6,26.6
2020-05-01,171.0,77.4,37.5,26.2
2020-06-01,171.0,133.7,33.5,23.3
2020-07-01,181.0,283.0,31.3,23.0
2020-08-01,190.0,366.9,29.9,22.5
2020-09-01,190.0,256.8,31.0,22.3
2020-10-01,190.0,62.4,33.7,21.7
2020-11-01,152.0,0.0,35.0,18.8
2020-12-01,152.0,0.0,35.5,18.1
2021-01-01,152.0,0.0,35.6,17.7
2021-02-01,171.0,0.0,35.8,19.2
2021-03-01,176.0,0.0,39.1,25.9
2021-04-01,209.0,0.3,40.8,26.9
2021-05-01,228.0,43.9,38.4,26.7
2021-06-01,228.0,149.7,34.6,24.1
2021-07-01,228.0,215.9,31.6,23.1
2021-08-01,228.0,428.1,30.3,22.7
2021-09-01,247.0,303.5,31.2,22.5
2021-10-01,171.0,4.1,35.7,23.7
2021-11-01,138.0,0.0,37.7,21.2
2021-12-01,165.0,0.0,34.2,17.6
2022-01-01,228.0,0.0,32.3,17.4
2022-02-01,228.0,0.0,36.4,19.9
2022-04-01,228.0,14.4,39.8,27.0
2022-05-01,228.0,27.7,37.9,25.9
2022-06-01,228.0,222.0,34.1,23.4
2022-07-01,228.0,285.9,31.5,23.0
2022-08-01,190.0,188.1,30.1,22.5
2022-09-01,190.0,270.9,30.4,21.9
2022-10-01,190.0,76.7,33.8,21.4
2022-11-01,144.0,0.0,35.0,18.6
2022-12-01,114.0,0.0,33.2,16.8
