"commune","year","precipitation","month"
"KANDI_AEROPORT","2013","0","1"
"NATITINGOU_PEPORIYAKOU","2013","0","1"
"PARAKOU_AEROPORT","2013","0","1"
"SAVE","2013","0","1"
"BOHICON","2013","0.2","1"
"COTONOU_AEROPORT","2013","30.1","1"
"KANDI_AEROPORT","2013","0","2"
"NATITINGOU_PEPORIYAKOU","2013","18.7","2"
"PARAKOU_AEROPORT","2013","3","2"
"SAVE","2013","19.4","2"
"BOHICON","2013","15.8","2"
"COTONOU_AEROPORT","2013","38.1","2"
"KANDI_AEROPORT","2013","0","3"
"NATITINGOU_PEPORIYAKOU","2013","41.2","3"
"PARAKOU_AEROPORT","2013","47.3","3"
"SAVE","2013","132.2","3"
"BOHICON","2013","77.7","3"
"COTONOU_AEROPORT","2013","75.1","3"
"KANDI_AEROPORT","2013","68.1","4"
"NATITINGOU_PEPORIYAKOU","2013","115","4"
"PARAKOU_AEROPORT","2013","142.6","4"
"SAVE","2013","110.1","4"
"BOHICON","2013","112.4","4"
"COTONOU_AEROPORT","2013","163","4"
"KANDI_AEROPORT","2013","104.7","5"
"NATITINGOU_PEPORIYAKOU","2013","90.8","5"
"PARAKOU_AEROPORT","2013","111.3","5"
"SAVE","2013","140.7","5"
"BOHICON","2013","133.9","5"
"COTONOU_AEROPORT","2013","375.1","5"
"KANDI_AEROPORT","2013","188","6"
"NATITINGOU_PEPORIYAKOU","2013","187.4","6"
"PARAKOU_AEROPORT","2013","100.4","6"
"SAVE","2013","105.8","6"
"BOHICON","2013","94","6"
"COTONOU_AEROPORT","2013","182.7","6"
"KANDI_AEROPORT","2013","193.7","7"
"NATITINGOU_PEPORIYAKOU","2013","134.2","7"
"PARAKOU_AEROPORT","2013","53.9","7"
"SAVE","2013","114.8","7"
"BOHICON","2013","126","7"
"COTONOU_AEROPORT","2013","75.2","7"
"KANDI_AEROPORT","2013","332.2","8"
"NATITINGOU_PEPORIYAKOU","2013","182.3","8"
"PARAKOU_AEROPORT","2013","126.4","8"
"SAVE","2013","95.1","8"
"BOHICON","2013","34.8","8"
"COTONOU_AEROPORT","2013","2.1","8"
"KANDI_AEROPORT","2013","120.3","9"
"NATITINGOU_PEPORIYAKOU","2013","166.5","9"
"PARAKOU_AEROPORT","2013","155.9","9"
"SAVE","2013","128.6","9"
"BOHICON","2013","60.2","9"
"COTONOU_AEROPORT","2013","122.2","9"
"KANDI_AEROPORT","2013","95.2","10"
"NATITINGOU_PEPORIYAKOU","2013","56.8","10"
"PARAKOU_AEROPORT","2013","173.2","10"
"SAVE","2013","107.2","10"
"BOHICON","2013","73","10"
"COTONOU_AEROPORT","2013","86.4","10"
"KANDI_AEROPORT","2013","0","11"
"NATITINGOU_PEPORIYAKOU","2013","9.4","11"
