"commune","year","tmin","month"
"KANDI_AEROPORT","2013","17.2","1"
"NATITINGOU","2013","15.3","1"
"PARAKOU_AEROPORT","2013","20.7","1"
"SAVE","2013","22.2","1"
"BOHICON","2013","23.6","1"
"COTONOU_AEROPORT","2013","24.8","1"
"KANDI_AEROPORT","2013","20.7","2"
"NATITINGOU","2013","18.5","2"
"PARAKOU_AEROPORT","2013","22.4","2"
"SAVE","2013","24.1","2"
"BOHICON","2013","25","2"
"COTONOU_AEROPORT","2013","26.6","2"
"KANDI_AEROPORT","2013","27.7","3"
"NATITINGOU","2013","24.1","3"
"PARAKOU_AEROPORT","2013","24.3","3"
"SAVE","2013","24.6","3"
"BOHICON","2013","25.4","3"
"COTONOU_AEROPORT","2013","27.5","3"
"KANDI_AEROPORT","2013","26.3","4"
"NATITINGOU","2013","23.6","4"
"PARAKOU_AEROPORT","2013","23.5","4"
"SAVE","2013","23.8","4"
"BOHICON","2013","24.7","4"
"COTONOU_AEROPORT","2013","26","4"
"KANDI_AEROPORT","2013","25.5","5"
"NATITINGOU","2013","22.9","5"
"PARAKOU_AEROPORT","2013","22.9","5"
"SAVE","2013","23.4","5"
"BOHICON","2013","23.9","5"
"COTONOU_AEROPORT","2013","24.8","5"
"KANDI_AEROPORT","2013","23.8","6"
"NATITINGOU","2013","21.6","6"
"PARAKOU_AEROPORT","2013","22.1","6"
"SAVE","2013","22.8","6"
"BOHICON","2013","23.2","6"
"COTONOU_AEROPORT","2013","24.8","6"
"KANDI_AEROPORT","2013","23.1","7"
"NATITINGOU","2013","21.5","7"
"PARAKOU_AEROPORT","2013","21.7","7"
"SAVE","2013","22.2","7"
"BOHICON","2013","22.6","7"
"COTONOU_AEROPORT","2013","24.2","7"
"KANDI_AEROPORT","2013","22.6","8"
"NATITINGOU","2013","21.3","8"
"PARAKOU_AEROPORT","2013","21.1","8"
"SAVE","2013","21.2","8"
"BOHICON","2013","21.8","8"
"COTONOU_AEROPORT","2013","24.1","8"
"KANDI_AEROPORT","2013","22.4","9"
"NATITINGOU","2013","21","9"
"PARAKOU_AEROPORT","2013","21.5","9"
"SAVE","2013","22.4","9"
"BOHICON","2013","22.8","9"
"COTONOU_AEROPORT","2013","24.8","9"
"KANDI_AEROPORT","2013","22.6","10"
